Date,Open,High,Low,Close,Adj Close
1/3/2020,2568.649902,2584.449951,2566.860107,2568.100098,2568.100098
1/6/2020,2580.350098,2586.389893,2567.110107,2585.949951,2585.949951
1/7/2020,2580.02002,2586.149902,2571.360107,2585.419922,2585.419922
1/8/2020,2591.879883,2597.290039,2557.780029,2558.820068,2558.820068
1/9/2020,2558.659912,2574.639893,2547.929932,2571.280029,2571.280029
1/10/2020,2572.780029,2588.969971,2572.389893,2580.959961,2580.959961
1/13/2020,2579.98999,2579.98999,2562.949951,2576.77002,2576.77002
1/14/2020,2576.23999,2590.820068,2572.060059,2576.389893,2576.389893
1/15/2020,2575.050049,2603.909912,2574.100098,2601.25,2601.25
1/16/2020,2610.379883,2636.899902,2608.939941,2626.909912,2626.909912
1/17/2020,2626.909912,2626.909912,2609.100098,2622.090088,2622.090088
1/21/2020,2614.060059,2614.060059,2578.419922,2582.139893,2582.139893
1/22/2020,2583.620117,2583.620117,2560.280029,2562.570068,2562.570068
1/23/2020,2548.050049,2562.699951,2532.360107,2558.51001,2558.51001
1/24/2020,2558.51001,2561.330078,2523.679932,2529.550049,2529.550049
1/27/2020,2498.5,2507.350098,2478.929932,2478.929932,2478.929932
1/28/2020,2488.02002,2496.379883,2476.300049,2477.689941,2477.689941
1/29/2020,2490.439941,2494.139893,2465.47998,2468.050049,2468.050049
1/30/2020,2453.889893,2469.909912,2453.439941,2467.639893,2467.639893
1/31/2020,2461.570068,2468.030029,2430.090088,2431.409912,2431.409912
2/3/2020,2431.409912,2435.679932,2408.72998,2411.719971,2411.719971
2/4/2020,2427.209961,2439.76001,2417.919922,2420.820068,2420.820068
2/5/2020,2435.73999,2458.530029,2435.73999,2454.219971,2454.219971
2/6/2020,2452.909912,2452.909912,2418.959961,2433.5,2433.5
2/7/2020,2422.300049,2427.080078,2402.25,2404.22998,2404.22998
2/10/2020,2396.929932,2396.969971,2376.189941,2381.280029,2381.280029
2/11/2020,2396.300049,2406.570068,2390.01001,2395.709961,2395.709961
2/12/2020,2410.27002,2421.290039,2406.110107,2411.139893,2411.139893
2/13/2020,2408.47998,2413.550049,2393.949951,2401,2401
2/14/2020,2402.820068,2416.340088,2395.040039,2403.290039,2403.290039
2/18/2020,2400.439941,2417.23999,2397.169922,2410,2410
2/19/2020,2419.090088,2431.719971,2409.620117,2425.699951,2425.699951
2/20/2020,2429.199951,2443.280029,2423.22998,2424.379883,2424.379883
2/21/2020,2424.379883,2424.379883,2400.959961,2406.889893,2406.889893
2/24/2020,2362.469971,2371.060059,2347.080078,2361.189941,2361.189941
2/25/2020,2361.189941,2388.340088,2293,2301.169922,2301.169922
2/26/2020,2306.02002,2314.719971,2249.320068,2253.840088,2253.840088
2/27/2020,2227.639893,2246.590088,2171.389893,2210.330078,2210.330078
2/28/2020,2162.199951,2213.699951,2134.080078,2213.699951,2213.699951
3/2/2020,2240.080078,2268.02002,2213.25,2265.899902,2265.899902
3/3/2020,2269.820068,2289.209961,2227.919922,2244.679932,2244.679932
3/4/2020,2268.820068,2269.070068,2231.889893,2261.629883,2261.629883
3/5/2020,2227.419922,2228.870117,2172.219971,2192.72998,2192.72998
3/6/2020,2159.709961,2159.709961,2106.98999,2149.77002,2149.77002
3/9/2020,2149.77002,2149.77002,1863.619995,1875.859985,1875.859985
3/10/2020,1942.97998,1950.630005,1826.579956,1899.280029,1899.280029
3/11/2020,1867.420044,1870.02002,1760.910034,1775.689941,1775.689941
3/12/2020,1649.060059,1650.839966,1550.430054,1564.900024,1564.900024
3/13/2020,1630.73999,1645.540039,1525.170044,1602.25,1602.25
3/16/2020,1449.030029,1529.880005,1396.76001,1499.150024,1499.150024
3/17/2020,1502.560059,1541.390015,1424.329956,1503.069946,1503.069946
3/18/2020,1421.949951,1427.329956,1276.089966,1317.219971,1317.219971
3/19/2020,1312.050049,1428.369995,1277.920044,1399.560059,1399.560059
3/20/2020,1426.76001,1476.339966,1388.339966,1408.939941,1408.939941
3/23/2020,1422.589966,1422.589966,1327.829956,1336.380005,1336.380005
3/24/2020,1430.48999,1466.530029,1410.609985,1464.969971,1464.969971
3/25/2020,1484.619995,1558.400024,1441.959961,1516.189941,1516.189941
3/26/2020,1516.189941,1615.609985,1516.189941,1550.349976,1550.349976
3/27/2020,1518.189941,1518.189941,1472.780029,1487.22998,1487.22998
3/30/2020,1475.839966,1513.25,1437.23999,1513.25,1513.25
3/31/2020,1524.209961,1568.589966,1512.369995,1537,1537
4/1/2020,1489.709961,1525.060059,1464.199951,1492.089966,1492.089966
4/2/2020,1521.810059,1600.709961,1512.099976,1557.609985,1557.609985
4/3/2020,1582.73999,1591.609985,1508.329956,1520.310059,1520.310059
4/6/2020,1552.079956,1584.140015,1549.920044,1583.380005,1583.380005
4/7/2020,1639.98999,1646.530029,1585.849976,1588.890015,1588.890015
4/8/2020,1613.27002,1662.339966,1605.52002,1661.640015,1661.640015
4/9/2020,1716.209961,1761.73999,1697.699951,1735.51001,1735.51001
4/13/2020,1751.880005,1751.880005,1701.709961,1729.180054,1729.180054
4/14/2020,1743.790039,1781.01001,1735.22998,1748.319946,1748.319946
4/15/2020,1709.699951,1716.25,1687.97998,1706.900024,1706.900024
